Country or Area,M49 code,ISO-alpha3 code,_ab_source_file_last_modified,_ab_source_file_url
Singapore,702.0,SGP,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Sint Maarten (Dutch part),534.0,SXM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Slovakia,703.0,SVK,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Slovenia,705.0,SVN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Solomon Islands,90.0,SLB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Somalia,706.0,SOM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
South Africa,710.0,ZAF,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
South Georgia and the South Sandwich Islands,239.0,SGS,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
South Sudan,728.0,SSD,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Spain,724.0,ESP,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Sri Lanka,144.0,LKA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
State of Palestine,275.0,PSE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Sudan,729.0,SDN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Suriname,740.0,SUR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Svalbard and Jan Mayen Islands,744.0,SJM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Sweden,752.0,SWE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Switzerland,756.0,CHE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Syrian Arab Republic,760.0,SYR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Tajikistan,762.0,TJK,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Thailand,764.0,THA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Timor-Leste,626.0,TLS,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Togo,768.0,TGO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Tokelau,772.0,TKL,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Tonga,776.0,TON,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Trinidad and Tobago,780.0,TTO,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Tunisia,788.0,TUN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Turkiye,792.0,TUR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Turkmenistan,795.0,TKM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Turks and Caicos Islands,796.0,TCA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Tuvalu,798.0,TUV,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Uganda,800.0,UGA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Ukraine,804.0,UKR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
United Arab Emirates,784.0,ARE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
United Kingdom of Great Britain and Northern Ireland,826.0,GBR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
United Republic of Tanzania,834.0,TZA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
United States Minor Outlying Islands,581.0,UMI,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
United States of America,840.0,USA,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
United States Virgin Islands,850.0,VIR,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Uruguay,858.0,URY,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Uzbekistan,860.0,UZB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Vanuatu,548.0,VUT,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Venezuela (Bolivarian Republic of),862.0,VEN,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Viet Nam,704.0,VNM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Wallis and Futuna Islands,876.0,WLF,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Western Sahara,732.0,ESH,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Yemen,887.0,YEM,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Zambia,894.0,ZMB,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
Zimbabwe,716.0,ZWE,2024-06-04T18:01:50.000000Z,iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
,,,2024-06-04T18:01:05.000000Z,dim_iso_country_keys.csv
